                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3375,                 4.1353,                 1.8641,                0.00486,                0.96875,                0.30227,                0.15901,                 1.3938,                 3.3829,                 1.1932,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.4723,                 2.4942,                 1.2112,                0.00502,                      1,                0.79181,                0.38997,                 1.2784,                  2.962,                 1.1393,               0.066517,              0.0035168,              0.0035168
                      2,                  1.438,                 1.8779,                 1.1353,                0.00502,                      1,                0.83057,                 0.4393,                 1.3007,                 2.8459,                 1.1007,               0.049046,              0.0050456,              0.0050456
                      3,                 1.4259,                 1.6573,                 1.1146,                      1,                0.36568,                0.87636,                0.52758,                 1.2451,                 2.3763,                 1.0472,               0.031386,              0.0063862,              0.0063862
                      4,                 1.4103,                 1.5583,                  1.125,                0.68958,                0.82812,                0.83742,                0.43526,                 1.3586,                 1.8247,                 1.0972,               0.013539,              0.0075388,              0.0075388
                      5,                 1.4248,                 1.6022,                 1.1654,                 0.8926,                0.84375,                0.94542,                0.46335,                 1.5231,                 1.4742,                 1.1708,               0.007525,               0.007525,               0.007525
                      6,                 1.3975,                 1.4246,                 1.1307,                  0.901,                0.89844,                 0.9764,                0.58201,                 1.2408,                  1.314,                 1.0727,               0.007525,               0.007525,               0.007525
                      7,                 1.3812,                 1.3615,                 1.1141,                0.87545,                0.93352,                 0.9574,                0.54912,                 1.3328,                 1.2567,                 1.1286,                0.00703,                0.00703,                0.00703
                      8,                  1.338,                 1.3443,                 1.1295,                0.86242,                0.93049,                0.94985,                0.53192,                 1.3327,                 1.3424,                 1.1409,               0.006535,               0.006535,               0.006535
                      9,                 1.2773,                  1.213,                 1.1224,                0.90126,                0.92704,                0.96381,                0.50934,                 1.3246,                 1.2281,                 1.0705,                0.00604,                0.00604,                0.00604
                     10,                 1.2754,                 1.2885,                 1.1256,                0.89562,                0.89062,                0.93103,                0.53128,                 1.3196,                  1.307,                 1.0705,               0.005545,               0.005545,               0.005545
                     11,                 1.2698,                 1.2371,                  1.099,                 0.9266,                0.95312,                0.97849,                0.64547,                 1.1424,                 1.0085,                 1.0104,                0.00505,                0.00505,                0.00505
                     12,                 1.2259,                 1.1479,                  1.116,                0.94408,                0.96094,                0.98415,                0.63492,                 1.1402,                 1.0605,                 1.0128,               0.004555,               0.004555,               0.004555
                     13,                  1.199,                 1.1356,                 1.0863,                0.95343,                0.95973,                0.98235,                0.65053,                 1.1304,                 1.0135,                 1.0219,                0.00406,                0.00406,                0.00406
                     14,                  1.169,                 1.0956,                  1.067,                0.96463,                0.99219,                0.99415,                0.68332,                 1.0497,                0.92717,                0.98843,               0.003565,               0.003565,               0.003565
                     15,                   1.12,                 1.0309,                 1.0575,                0.98301,                0.98438,                0.99422,                0.64971,                 1.0605,                0.84742,                0.97837,                0.00307,                0.00307,                0.00307
                     16,                 1.0977,                0.95609,                 1.0268,                0.97985,                0.99219,                0.99249,                0.65972,                 1.0558,                0.82743,                0.98345,               0.002575,               0.002575,               0.002575
                     17,                 1.0706,                0.95669,                 1.0101,                0.97704,                0.99716,                0.99093,                0.66977,                  1.032,                0.81463,                0.97526,                0.00208,                0.00208,                0.00208
                     18,                 1.0277,                0.92406,                 1.0181,                 0.9911,                0.99219,                0.99359,                 0.6792,                 1.0132,                0.77299,                 0.9743,               0.001585,               0.001585,               0.001585
                     19,                  1.021,                   0.89,                 1.0124,                 0.9839,                      1,                0.99453,                0.69845,                0.99131,                0.75556,                0.96052,                0.00109,                0.00109,                0.00109
