                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8735,                0.89554,                0.98953,                0.90632,                0.86722,                0.87876,                0.35759,                 1.9672,                0.89246,                 1.0099,               0.070154,              0.0033162,              0.0033162
                      1,                 1.8987,                 0.9544,                0.98529,                0.90043,                0.84375,                0.84715,                0.33147,                 2.0753,                0.93943,                 1.0347,               0.040101,              0.0065969,              0.0065969
                      2,                 1.9264,                0.98255,                0.99358,                 0.8994,                0.83453,                0.87354,                0.35864,                 1.9486,                0.95199,                 1.0114,              0.0099957,              0.0098248,              0.0098248
                      3,                 1.9686,                 1.0339,                 1.0165,                0.89804,                0.80411,                0.85862,                0.35109,                 1.9509,                0.96479,                  1.011,              0.0097624,              0.0097624,              0.0097624
                      4,                 2.0035,                 1.0968,                 1.0117,                0.86212,                0.82386,                0.86167,                0.35081,                 1.9321,                0.97911,                 1.0065,              0.0097624,              0.0097624,              0.0097624
                      5,                 1.9926,                 1.0879,                 1.0223,                0.88912,                0.82155,                0.86877,                0.34965,                 1.9667,                0.97733,                 1.0094,              0.0096832,              0.0096832,              0.0096832
                      6,                 1.9703,                  1.088,                 1.0185,                0.88481,                0.82041,                 0.8576,                0.34206,                 1.9615,                0.98384,                   1.01,               0.009604,               0.009604,               0.009604
                      7,                 1.9963,                 1.0945,                 1.0105,                0.86952,                0.81958,                0.83567,                0.32759,                 2.0711,                0.96641,                 1.0395,              0.0095248,              0.0095248,              0.0095248
                      8,                 1.9683,                 1.0486,                 1.0084,                0.89674,                0.83063,                0.86907,                 0.3493,                  1.996,                0.93966,                 1.0217,              0.0094456,              0.0094456,              0.0094456
                      9,                 1.9907,                 1.0905,                 1.0131,                0.86905,                0.83253,                0.86069,                0.35026,                 1.9399,                0.96324,                 1.0116,              0.0093664,              0.0093664,              0.0093664
                     10,                 1.9854,                 1.0821,                 1.0224,                0.88521,                0.82543,                0.87832,                0.35968,                 1.9502,                 0.9626,                 1.0127,              0.0092872,              0.0092872,              0.0092872
                     11,                 1.9779,                  1.063,                 1.0101,                0.87926,                0.82777,                0.86118,                0.34705,                 1.9735,                 0.9748,                 1.0171,               0.009208,               0.009208,               0.009208
                     12,                 1.9579,                 1.0577,                 1.0103,                0.89867,                0.82289,                0.87685,                0.35823,                 1.9512,                0.96011,                 1.0117,              0.0091288,              0.0091288,              0.0091288
                     13,                 1.9883,                 1.0904,                  1.012,                0.89395,                 0.8206,                0.86908,                0.34464,                 2.0369,                0.96278,                 1.0282,              0.0090496,              0.0090496,              0.0090496
                     14,                  1.984,                 1.0839,                   1.02,                 0.8922,                0.83304,                0.87652,                0.35625,                 1.9366,                0.96951,                  1.009,              0.0089704,              0.0089704,              0.0089704
